risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | object_distance: 0.5 | object_moving, values = true | object_name: Bird1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1], Risk of physical damage! The drone is flying next to 5 moving birds. One is 0.5m away, another is 1m away, another is 1.5m away, another is 2m away, another is 2.5m away. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_name: water   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [water],slot:object_name,values: [water] || Risk of physical damage! There's water only 2m away. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 8 | object_name: bench 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [bench 1],slot:object_name,values: [bench 1] || Risk of physical damage! There's a bench in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: advisory | object_inpath:true | object_distance: 3 | altitude: 2.0 | battery_level: 20.0 | temperature: 7.0 | battery_level: 20.0 | object_name: tree 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [7.0],slot:temperature,values: [7.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 2m in a low-temperature setting.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | weather: dark   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [dark],slot:weather,values: [dark] || Risk of physical damage! There's a fountain only 1m away in a dark setting. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: False | object_distance: 1 | object_distance: 1 | object_moving, values = true | altitude: 80.0 | battery_level: 40.0 | temperature: 0.0 | battery_level: 40.0 | object_name: Bird1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [80.0],slot:altitude,values: [80.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:temperature,values: [0.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [Bird1],slot:object_name,values: [Bird1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 80m in a low-temperature setting.     Risk of physical damage! There's a moving bird only 1m away. There's another moving bird only 2m away. 
risk_of_physical_damage: warning | object_distance: 1 | normal_frame: False | object_name: train   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [train],slot:object_name,values: [train]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a train only 1m away. 
lost_connection: 1.0 | distance_from_remote_control: 4347.0 | battery_level: 10.0 | risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | altitude: 5.0 | battery_level: 10.0   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4347.0],slot:distance_from_remote_control,values: [4347.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]|| Risk of physical damage and lost connection! The drone has an empty battery. It's flying at an altitude of 5m and 4347m away from the remote control.     Risk of physical damage! There's a ruin in the drone's flight path at a distance of 8m. 

risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage!There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 2.0 | battery_level: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 2m. 
risk_of_physical_damage: warning | altitude: 3.0 | battery_level: 20.0 | normal_frame: False   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 3m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | altitude: 2.0 | battery_level: 30.0 | normal_frame: 0.0 | temperature: 6.0 | battery_level: 30.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [6.0],slot:temperature,values: [6.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m in a low-temperature setting.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | object_distance: 2 | object_inpath:true | object_distance: 2 | indoor: True | normal_frame: False | object_name: purple cup ride   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [purple cup ride],slot:object_name,values: [purple cup ride]|| Risk of physical damage! The drone has a damaged frame and is flying indoors.     Risk of physical damage! There's a purple cup ride in the drone's flight path at a distance of 2m. There's also a pot statue in the drone's flight path at a distance of 3m. 
 Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | altitude: 0.5 | battery_level: 30.0 | normal_frame: False | object_distance: 2 | pilot_experienced: False | object_distance: 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:altitude,values: [0.5]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of .5m.     Risk of physical damage! There's are 2 ships only 2m away. 
risk_of_physical_damage: warning | altitude: 10.0 | battery_level: 0.0 | object_inpath:true | object_distance: 3 | object_name: building 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [10.0],slot:altitude,values: [10.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [building 1],slot:object_name,values: [building 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 10m.     Risk of physical damage! There's a lamp in the drone's flight path at a distance of 5m. There's also a tree in the drone's flight path at a distance of 4m. 
risk_of_physical_damage: warning | object_distance: 1 | object_name: bridge   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [bridge],slot:object_name,values: [bridge] || Risk of physical damage! There's a bridge only 1m away. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5 | object_name: building   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [building],slot:object_name,values: [building] || Risk of physical damage! There's a building in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | altitude: 2.0 | battery_level: 30.0 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: False | object_distance: 2 | altitude: 40.0 | battery_level: 40.0 | temperature: 6.0 | battery_level: 40.0 | object_name: tall building 1   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [40.0],slot:altitude,values: [40.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [6.0],slot:temperature,values: [6.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [tall building 1],slot:object_name,values: [tall building 1]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 40m in a low-temperature setting.     Risk of physical damage! There are 2 buildings only 2m away. 
risk_of_physical_damage: warning | object_distance: 1 | altitude: 3.0 | battery_level: 0.0 | normal_frame: 0.0 | object_name: building   |   act:INFORM, canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [building],slot:object_name,values: [building]|| Risk of physical damage! The drone has a damaged frame and empty battery. The drone is also flying an altitude of 3m.     Risk of physical damage! There's a doorway in the drone's flight path at a distance of 0.5m. 
risk_of_physical_damage: warning | normal_frame: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]|| Risk of physical damage! The drone has a damaged frame. 
risk_of_physical_damage: informative | object_distance: 1.5   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5] || Risk of physical damage! There's a window only 1.5m away. 

risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | object_distance: 0.5 | low_visibility: 1.0 | altitude: 1.0 | battery_level: 10.0 | object_name: tube   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:low_visibility,values: [1.0]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [tube],slot:object_name,values: [tube]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 1m in a low-visibility setting.     Risk of physical damage! There's a tube only .5m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | indoor: True | object_name:  bookshelves   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [ bookshelves],slot:object_name,values: [ bookshelves]|| Risk of physical damage! The drone is flying indoors.     Risk of physical damage! There are bookshelves only .5m away. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: 0.0 | object_distance: 0.5 | altitude: 5.0 | battery_level: 20.0 | normal_frame: 0.0 | object_name: wall in castle 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [wall in castle 1],slot:object_name,values: [wall in castle 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a wall only .5m away. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 5.0 | battery_level: 10.0 | temperature: 9.0 | battery_level: 10.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [9.0],slot:temperature,values: [9.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 7 | altitude: 5.0 | battery_level: 40.0 | normal_frame: 0.0 | object_name: planted parapet   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [7],slot:object_distance,values: [7]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [planted parapet],slot:object_name,values: [planted parapet]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a parapet in the drone's flight path at a distance of 7m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | altitude: 3.0 | battery_level: 30.0 | normal_frame: 0.0 | object_name: sailboat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [sailboat],slot:object_name,values: [sailboat]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m.     Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 3 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | altitude: 2.0 | battery_level: 20.0 | wind_speed: 21.0 | battery_level: 20.0 | object_distance: 0.4 | object_distance: 0.4 | object_type: Car   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [21.0],slot:wind_speed,values: [21.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.4],slot:object_distance,values: [0.4]| act:INFORM,canonical_values: [0.4],slot:object_distance,values: [0.4]| act:INFORM,canonical_values: [Car],slot:object_type,values: [Car]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 2m in strong wind.     Risk of physical damage! There's a car only .4m away. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_name: pillar of building 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [pillar of building 2],slot:object_name,values: [pillar of building 2]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a pillar only 2m away. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5 | object_name: pavilion   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [pavilion],slot:object_name,values: [pavilion] || Risk of physical damage! There's a pavilion in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 5   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
